Year,Dis Mag Value,Total Deaths,No Injured,No Affected,No Homeless,Total Affected
2001,,130,,80000,,80000
2001,1270,257,4,,3690,3694
2001,9125,15,,,2000,2000
2001,,,,,,
2001,3000,56,,1669182,,1669182
2001,590,,,453000,,453000
2001,,51,,,3750,3750
2001,,,,10000,,10000
2001,22940,11,,18000,,18000
2001,19750,83,30,,4100,4130
2001,,,,5000,,5000
2001,,,,200,,200
2001,31880,37,,79000,,79000
2001,190,4,,300,,300
2001,845,2,,12000,,12000
2001,4160,104,109,450000,,450109
2001,,,,1000,,1000
2001,,2,,6000,,6000
2001,,,,4000,,4000
2001,,,,3000,,3000
2001,72000,20,6,35000,,35006
2001,745,310,,1570270,,1570270
2001,,9,,175,,175
2001,370,1,,2508,,2508
2002,1490,21,,40,,40
2002,4170,13,,2000,,2000
2002,41000,150,750,500000,,500750
2002,942,14,,780,,780
2002,4900,19,,,,
2002,2,,,1000,,1000
2002,17000,13,,87000,,87000
2002,,29,,1470000,,1470000
2002,,2,,150000,,150000
2002,,21,,50000,,50000
2002,13420,11,8,95000,,95008
2002,11680,26,59,3500,,3559
2002,12840,18,,7000,,7000
2002,5280,35,,50000,,50000
2002,,,,1500,,1500
2002,,154,62,3289358,,3289420
2002,27820,10,,2000,,2000
2002,,82,,1138200,,1138200
2002,19980,55,116,291500,,291616
2003,,3,,10000,,10000
2003,,1,,15000,,15000
2003,,,,230,,230
2003,,10,,3700,,3700
2003,600,241,30,1468,,1498
2003,1500,8,,25000,,25000
2003,79400,148,,350000,,350000
2003,540,3,,33000,,33000
2003,,,,3500,,3500
2003,,,,,,
2003,362,61,34,185135,8880,194049
2003,12930,3,,600,,600
2003,,5,,3000,,3000
2003,21720,,,2000,,2000
2003,,3,,13800,,13800
2003,,6,,104700,,104700
2003,,3,,3000,,3000
2003,10630,52,29,216745,5000,221774
2003,31350,15,,1000,,1000
2003,,,,450,,450
2004,280,5,,13000,,13000
2004,,,,,,
2004,20370,7,,20000,,20000
2004,12020,53,18,,,18
2004,47760,34,,30000,,30000
2004,32620,3,,6900,,6900
2004,,,,9138,,9138
2004,,13,,,15000,15000
2004,2080,15,,,1500,1500
2004,,27,,194,,194
2004,,2,,2000,,2000
2004,154400,9,,500000,,500000
2004,,2,,5000,,5000
2004,3300,9,,5000,,5000
2005,1730,47,18,750,,768
2005,2460,28,211,12000,,12211
2005,,79,30,7781,,7811
