Year,Disaster Type,Disaster Subtype,Country,ISO,No Injured,No Affected,No Homeless,Total Affected,Total Damages,"Total Damages, Adjusted",CPI
2010,Flood,Flash flood,Philippines (the),PHL,,40198,,40198,22,27,80.47228515
2016,Flood,,Lao People's Democratic Republic (the),LAO,,26328,,26328,50,56,88.57345288
2015,Flood,,Philippines (the),PHL,,42500,,42500,86,98,87.46993221
2002,Flood,Riverine flood,Cambodia,KHM,,1470000,,1470000,100,151,66.3819637
2015,Flood,,Philippines (the),PHL,,62929,,62929,114,130,87.46993221
2011,Flood,Flash flood,Philippines (the),PHL,,274,,274,115,139,83.01267439
2008,Flood,Riverine flood,Philippines (the),PHL,1,2390,,2391,173,218,79.4563044
2011,Flood,Riverine flood,Philippines (the),PHL,13,16178,,16191,183,220,83.01267439
2011,Flood,Flash flood,Philippines (the),PHL,,121005,,121005,251,302,83.01267439
2011,Flood,Riverine flood,Philippines (the),PHL,1,241776,,241777,280,337,83.01267439
2008,Flood,Flash flood,Thailand,THA,,32584,,32584,344,433,79.4563044
2017,Flood,,Viet Nam,VNM,4,4100,,4104,355,392,90.46017931
2002,Flood,Riverine flood,Philippines (the),PHL,8,95000,,95008,392,591,66.3819637
2006,Flood,Riverine flood,Philippines (the),PHL,,4250,,4250,399,536,74.39638749
2008,Flood,Riverine flood,Philippines (the),PHL,,29184,,29184,446,561,79.4563044
2000,Flood,Riverine flood,Thailand,THA,,12500,,12500,506,796,63.54954734
2005,Flood,Riverine flood,Philippines (the),PHL,,192946,,192946,515,715,72.07141045
2008,Flood,Riverine flood,Indonesia,IDN,,40000,,40000,653,822,79.4563044
2006,Flood,Riverine flood,Philippines (the),PHL,,40000,,40000,763,1026,74.39638749
2000,Flood,,Lao People's Democratic Republic (the),LAO,,450000,,450000,1000,1574,63.54954734
2000,Flood,Flash flood,Malaysia,MYS,,8000,,8000,1000,1574,63.54954734
2006,Flood,Flash flood,Viet Nam,VNM,100,,,100,1000,1344,74.39638749
2007,Flood,Riverine flood,Cambodia,KHM,,19000,,19000,1000,1307,76.5186792
2012,Flood,Riverine flood,Philippines (the),PHL,2,,30927,30929,1000,1180,84.7304789
2008,Flood,Riverine flood,Indonesia,IDN,,118000,,118000,1080,1359,79.4563044
2017,Flood,,Viet Nam,VNM,,400,,400,1300,1437,90.46017931
2003,Flood,Flash flood,Thailand,THA,,104700,,104700,1400,2062,67.88889569
2017,Flood,,Thailand,THA,,605000,,605000,1400,1548,90.46017931
2002,Flood,Riverine flood,Philippines (the),PHL,,50000,,50000,1450,2184,66.3819637
2007,Flood,Riverine flood,Thailand,THA,,100000,,100000,1500,1960,76.5186792
2002,Flood,Riverine flood,Indonesia,IDN,,87000,,87000,1600,2410,66.3819637
2011,Flood,Flash flood,Myanmar,MMR,,35734,,35734,1700,2048,83.01267439
2013,Flood,Riverine flood,Philippines (the),PHL,,207971,,207971,1988,2312,85.97164225
