Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Tue, 29 Mar 2022 08:25:44 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Geo Locations,
2000-0791-IDN,2000,0791,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Taliwan area (Sumbawa Barat district, Nusatenggara Barat province), Lunyuk area (Sumbawa district, Nusatenggara Barat province), Kulonprogo district (Daerah Istimewa Yogyakarta province), Bolaangmongondow, Minahasa, Kota Bitung, Kota Manado districts (Sulawesi Utara province)",Brief torrential rain,"Slide (land, mud, snow, rock)",,,,,,590,2000,12,3,2000,12,6,38,,39852,,39852,,,,,,,63.54954734,"Bolaangmongondow, Kota Bitung, Kota Manado, Kulonprogo, Minahasa, Sumbawa, Sumbawa Barat (Adm2).","Bolaangmongondow, Kota Bitung, Kota Manado, Kulonprogo, Minahasa, Sumbawa, Sumbawa Barat (Adm2)."
2000-0258-IDN,2000,0258,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Malaka Tengah, Malaka Barat areas (Belu district, Nusatenggara Timur province)",Heavy rain,,,Yes,,Yes,100,11400,2000,5,16,2000,5,24,126,,50000,,50000,,,,,79000,124312,63.54954734,Belu (Adm2).,
2000-0770-IDN,2000,0770,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Aceh Besar, Aceh Utara districts (Nangroe Aceh Darussalam province), Pesisir Selatan, Tanahdatar, Solok districts (Sumatera Barat province) Dairi, Deli Serdang districts (Sumatera Utara province), Riau, Jambi provinces",,,,Yes,,,1106,300,2000,11,28,2000,12,4,100,21,386000,,386021,,,,,34000,53502,63.54954734,"Jambi, Riau (Adm1). Aceh Besar, Aceh Utara, Dairi, Deli Serdang, Pesisir Selatan, Solok, Tanahdatar (Adm2).",
2000-0438-KHM,2000,0438,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Stung Treng, Kratie, Koh Kong, Kampong Cham, Pursat, Kampong Thom, Takeo, Siem Reap, Otdar Meanchey, Kampot, Svay Rieng, Kandal, Phnom Penh, Prey Veng, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Battambang, Banteay Meanchey, Kampong Speu provinces",Monsoonal rain,,,Yes,,,18970,638,2000,7,11,2000,8,10,347,53,3448000,,3448053,,,,,160000,251772,63.54954734,"Banteay Meanchey, Battambang, Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Koh Kong, Kratie, Otdar Meanchey, Phnom Penh, Preah Vihear, Prey Veng, Pursat, Ratanak Kiri, Siem Reap, Stung Treng, Svay Rieng, Takeo (Adm1).",
2000-0583-LAO,2000,0583,,Natural,Hydrological,Flood,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Louang-Namtha, Bolikhamxai, Khammouan, Savannakhet, Champasak, Salavan, Vientiane, Vientiane capital province",,,,Yes,,,973,1104,2000,9,,2000,9,,15,,450000,,450000,,,,,1000,1574,63.54954734,"Bolikhamxai, Champasak, Khammouan, Louang-Namtha, Salavan, Savannakhet, Vientiane, Vientiane capital (Adm1).",
2000-0774-MYS,2000,0774,,Natural,Hydrological,Flood,Flash flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kuala Krai, Pasir Puteh, Kota Bharu, Pasir Mas, Tumpat districts (Kelantan province), Kubang Pasu, Kota Setar, Padang Terap districts (Kedah province), Besut district (Terengganu province)",Brief torrential rain,,,,,,,,2000,11,21,2000,12,1,12,,8000,,8000,,,,,1000,1574,63.54954734,"Besut, Kota Bharu, Kota Setar, Kuala Krai, Kubang Pasu, Padang Terap, Pasir Mas, Pasir Puteh, Tumpat (Adm2).",
2000-0038-PHL,2000,0038,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Agusan del Sur, Agusan del Norte, Surigao del Sur districts (Region XIII province), Davao Oriental, Davao del Norte, Compostela districts (Region XI province)",Brief torrential rain,"Slide (land, mud, snow, rock)",,,,,,16700,2000,1,28,2000,2,1,50,,153885,,153885,,,,,4080,6420,63.54954734,"Agusan Del Norte, Agusan Del Sur, Compostela, Davao del Norte, Davao Oriental, Surigao Del Sur (Adm2).",
2000-0597-PHL,2000,0597,,Natural,Hydrological,Flood,Coastal flood,,Maring,Philippines (the),PHL,South-Eastern Asia,Asia,Metropolitan Manila district (NCR province),,Flood,,,,,,,2000,9,4,2000,9,5,5,,6508,,6508,,,,,,,63.54954734,Metropolitan Manila (Adm2).,
2000-0066-PHL,2000,0066,,Natural,Hydrological,Flood,Coastal flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Tawi-Tawi district (ARMM province),,,,,,,,3,2000,1,22,2000,1,22,,,,5250,5250,,,,,,,63.54954734,Tawi-tawi (Adm2).,
2000-0755-THA,2000,0755,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Songkhla, Nakhon Si Thammarat, Surat Thani, Satun, Phatthalung, Chumphon, Narathiwat, Yala, Pattani, Trang provinces",,,,Yes,,,,630,2000,11,21,2000,11,21,51,570,808231,,808801,,,,,57500,90481,63.54954734,"Chumphon, Nakhon Si Thammarat, Narathiwat, Pattani, Phatthalung, Satun, Songkhla, Surat Thani, Trang, Yala (Adm1).",
2000-0777-THA,2000,0777,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Wang Pong, Chon Daen districts (Phetchabun province)",,,,,,,,,2000,9,,2000,9,,9,,12500,,12500,,,,,506,796,63.54954734,"Chon Daen, Wang Pong (Adm2).",
2000-0401-THA,2000,0401,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Muang Chiang Rai, Mae Chan districts (Chiang Rai province)",,,,,,,,,2000,6,21,2000,6,21,,,2500,,2500,,,,,,,63.54954734,"Mae Chan, Muang Chiang Rai (Adm2).",
2000-0446-THA,2000,0446,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Phan, Muang Chiang Rai, Khun Tan districts (Chiang Ria province), Loei, Udon Thani, Nakhon Phanom, Sakon Nakhon, Kalasin, Maha Sarakham, Roi Et, Surin, Buriram, Si Saket, Yasothon, Amnat Charoen, Ubon Ratchathani provinces",,,,,,,,2050,2000,7,,2000,7,,47,,2500000,,2500000,,,,,51050,80331,63.54954734,"Amnat Charoen, Buriram, Kalasin, Loei, Maha Sarakham, Nakhon Phanom, Roi Et, Sakon Nakhon, Si Saket, Surin, Ubon Ratchathani, Udon Thani, Yasothon (Adm1). Khun Tan, Muang Chiang Rai, Phan (Adm2).",
2000-0408-VNM,2000,0408,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Long An, Dong Thap, An Giang, Kien Giang, Can Tho city, Vinh Long, Tien Giang provinces",,,,Yes,,,9402,1400,2000,7,,2000,11,,460,4,5000000,,5000004,,,,,250000,393394,63.54954734,"An Giang, Can Tho city, Dong Thap, Kien Giang, Long An, Tien Giang, Vinh Long (Adm1).",
